question,answer
 هل يحقللكافلالاعتراضُ على زواج مكفولته التي تزوجت بغير ولي لكون عقد الزواج قد أُبرِم دون موافقته ولا يناسب مهرُهَا مكانَتَهَا الاجتماعية والثقافية؟ ,حق الكافل في الاعتراض على زواج مكفولته التي تزوجت بغير ولي لأن الزواج تم دون موافقته
 ما حكمالشراء الوهمي لمنتجات بعض التجارلزيادة رواج بضاعتهم وأخذ عمولة على ذلك؟ حيث أعمل على موقع على الإنترنت، لمساعدة التجار على إظهار السلعة بسرعة على مواقع بيع السلع، حيث نقوم بشراء وهمي لمنتجاتهم، حيث إنه كلما زادت مبيعاتهم تظهر أسرع؛ لكي يراها الناس بسرعة، ونأخذعمولةعلى ذلك، فما الحكم؟ ,حكم الشراء الوهمي لمنتجات بعض التجار لزيادة رواج بضاعتهم وأخذ عمولة على ذلك
 ما حكم استرداد العارية قبل انتهاء المدة المتفق عليها؟ فرجلٌ استعار سيارةً مِن جاره لقضاء بعض المصالح بها لمدة ثلاثة أيام، إلا أن صاحبالسيارةطلب استردادها بعد يومٍ مِن أخذها لسفر ضروري طرأ له في عمله، ولا يملك غير هذه السيارة للسفر، لكنِ المستعيرُ امتنع عن رَدِّها، وتمسك باتفاقه مع صاحب السيارة، وأنه قد استأذنه فيها لمدة ثلاثة أيام، والسؤال: هل يجوز شرعًا ما فعله المستعير مِن الامتناع عن تسليم السيارة إلا بمضي المدة المتفق عليها؟ علمًا بأن رَدَّها لا يَضُره في شيء، فهي موجودة عند البيت ولا يستعملُها حين طُلِبَت منه، وإنما المتضرر هو صاحب السيارة؛ لأنه لو استأجر سيارة للسفر سوف يتكلف كثيرًا من المال، ولو امتنع عن السفر تضرر في عمله. ,حكم استرداد العارية قبل انتهاء المدة المتفق عليها
 ما حكم تأخيرحج الفريضةبعد الاستطاعة لرعاية الأم المريضة؟ فهناك شخصٌ أكرَمَه اللهُ تعالى بالقدرة المالية والبدنية علىأداء فريضة الحج، لكن أمه مريضة ولا يقدر على تركها، حيث يقوم على خدمتها ورعايتها، وليس لها غيره يرعاها ويقوم على شؤونها في هذا الوقت، فهل يجوز له تأخير الحج إلى العام القادم أو إلى تمام شفائها ثم يَحُجُّ؟ ,حكم تأخير حج الفريضة بعد الاستطاعة لرعاية الأم المريضة
 ماضابط الحاجة الأصليةفي الزكاة؟ وهل تتسع مشمولاته لأدواتالكسب؟ ,ضابط الحاجة الأصلية في الزكاة
 أيهما أفضل: القيام بعمرةالتطوع أو الإنفاق علىالفقراء والمحتاجين؟ ,الأفضلية بين عمرة التطوع والإنفاق على الفقراء والمحتاجين
 ما حكمالشراكةبين شخصين أحدهما بالمال والآخر بمنصبه الوظيفي ونفوذه؟ فهناك رجلٌ ذو مال يَتَّجِرُ في مواد البناء، ويريد إبرام اتفاقِ شراكةٍ مع صَاحبٍ لا مال له، غير أن هذا الصاحب ذو مَنْصِبٍ وظيفيٍّ ومكانةٍ ونفوذ، مما يُمكِّنه مِن تسهيل وتيسير الصفقات وإسنادها بيعًا وشراءً، بالآجل أو نقدًا، في حين أن التاجر صاحب المال هو مَن يقوم بالتعاقد مع الجهات (بنفوذ هذا الصاحب ومَنصِبِه الوظيفي) ودفع الأثمان (لأجَلٍ كانت أو حالَّةً)، وما ينشأ بعد ذلك مِن مصاريفٍ ونحوها، وعلى هذا الاتفاق تكون الشراكةُ مِن أحدهما بالمال، ومِن الثاني بالمَنصِب الوظيفي والنفوذ وما يترتب على ذلك مِن تسهيل الصفقات وإسنادها إلى الأول (التاجر)، ثم بعد البيع وخصم المصروفات تقسم الأرباح بين الشريكين بالتساوي، فما الحكم في ذلك شرعًا؟ ,"حكم الشراكة بين شخصين أحدهما بالمال والآخر بمنصبه الوظيفي ونفوذه "" شركة الوجوه """
 ما حكم الحج والعمرة عن طريقالمسابقات؟ فقد اشتركتُ وبعض أصدقائي في مسابقة ثقافية نظَّمتها إحدى الجهات الخيرية، وأعلنوا أنَّ جائزتها رحلةُ حَجٍّ أو عُمْرةٍ، فهل يجوز لي حال الفوز بهذه المسابقة أن أحجَّ أو أعتمر بهذه الكيفية؟ ,حكم الحج والعمرة عن طريق المسابقات
 ما حكم من اشترى عقارا من الجهات المختصة ويريد التنازل عنه لغيره مقابل مال؟ فهناك رجلٌ تقدَّم للحصول على وحدة سكنية بأحد مشروعات الإسكان الاجتماعي، وبعد تخصيص وِحدة سكنية بِاسْمِهِ يُريد التنازلَ عن حقِّ التخصيص لشخصٍ آخَر مقابِلَ مال، فما حكم ذلك شرعًا؟ ,حكم التنازل مقابل مال عن وحدة سكنية تم الحصول عليها من الإسكان الاجتماعي
 ما مدى صحة حديث: «إِذَا رَأَيْتُمْ هِلَالَ ذِي الحِجَّةِ، وَأَرَادَ أَحَدُكُمْ أَن يُضَحِّيَ، فَلْيُمْسِكْ عَن شَعْرِهِ وَأَظْفَارِهِ»، وهل ينطبق على الحاج؟ ,مدى مخاطبة الحاج الذي يريد أن يضحي بحديث عدم الأخذ من الشعر والظفر
 ما الفرق بين التحلل الأصغر والتحلل الأكبر فيأعمال الحج؟ فهناك شخصٌ عزم علىالحجهذا العام، ويعرف أن للحج تحللًا أصغر وتحللًا أكبر، ويسأل: ما الفرق بينهما؟ ,بيان الفرق بين التحلل الأصغر والتحلل الأكبر
 ما هو الحد الفاصل بين القليل والكثير في عيوبالأضحية؟ فقد اشتريت خروفين لأضحي بهما، لكني اكتشفت بعد الذهاب إلى المنزل أن أحدهما به عرج يسير، لكن هذا العرج لا يعيق حركة مشيه، فأخبرني أحد إخوتي أن هذا الخروف الأعرج لا يجزئ في الأضحية، فلما رجعت به إلى التاجر لأستبدله أو أسترجع ثمنه وجدته قد غادر مكانه، وأخبرني جيرانه أنه باع المواشي التي عنده كلها وسافر إلى بلده، فهل يجوز لي أن أضحي بهذا الخروف الذي به عرج يسير؟ وما الحكم الشرعي تجاه عيوبالأضحية؟ وكيف نفرق بين اليسير والكثير؟ ,الحد الفاصل بين القليل والكثير في عيوب الأضحية
